GENBANK_REFERENCE,CATALOGUE_NAME,CATALOGUE_VERSION,CATALOGUE_GRAMMAR,PREDICTION_VALUES,DRUG,MUTATION,PREDICTION,SOURCE,EVIDENCE,OTHER
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,gid@*!,R,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rrs@*=,S,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rrs@-*_indel,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rrs@*_indel,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rrs@-*?,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rrs@*?,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rrs@del_0.0,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rpsL@*=,S,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rpsL@-*_indel,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rpsL@*_indel,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rpsL@-*?,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rpsL@*?,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,rpsL@del_0.0,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,gid@*=,S,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,gid@-*_indel,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,gid@*_indel,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,gid@-*?,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,gid@*?,U,{},{},{}
NC_000962.3,STM-FRS-10-2024.01,1.1,GARC1,RUS,STM,gid@del_0.0,U,{},{},{}
